model_id,canonical_field,source_field,raw_value,transform,status,reason
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,attention_variant,config.model_type + attention head fields,"{""model_type"": ""qwen3_moe"", ""num_attention_heads"": 64, ""num_key_value_heads"": 4}",architecture rule,available,
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,mlp_structure,config.model_type,"""qwen3_moe""",declarative architecture rule,available,
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,quant_method_config,config.quantization_config.quant_method,"""fp8""",identity,available,
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,runtime_dtype_config,config.torch_dtype,"""bfloat16""",identity,available,
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,runtime_dtype_bits,config.torch_dtype,"""bfloat16""",dtype label to bits,available,
Qwen/Qwen3-235B-A22B-Thinking-2507,architecture_family,benchmark.architecture,"""MoE""",benchmark architecture taxonomy,available,
Qwen/Qwen3-235B-A22B-Thinking-2507,total_params_billions,benchmark.total_params_billions,235.0,identity,available,
Qwen/Qwen3-235B-A22B-Thinking-2507,activated_params_billions,benchmark.activated_params_billions,22.0,identity,available,
Qwen/Qwen3-235B-A22B-Thinking-2507,weight_precision,benchmark.weight_precision,"""bfloat16""",identity,available,
Qwen/Qwen3-235B-A22B-Thinking-2507,precision_bits,benchmark.weight_precision,"""bfloat16""",precision label to bits,available,
Qwen/Qwen3-235B-A22B-Thinking-2507,param_count_total,benchmark.total_params_billions,235.0,billions * 1e9,available,
Qwen/Qwen3-235B-A22B-Thinking-2507,param_count_active,benchmark.activated_params_billions,22.0,billions * 1e9,available,
Qwen/Qwen3-235B-A22B-Thinking-2507,model_type,config.model_type,"""qwen3_moe""",identity,available,
Qwen/Qwen3-235B-A22B-Thinking-2507,architecture_class,config.architectures[0],"""Qwen3MoeForCausalLM""",identity,available,
Qwen/Qwen3-235B-A22B-Thinking-2507,num_layers,config.num_hidden_layers,94,identity,available,
Qwen/Qwen3-235B-A22B-Thinking-2507,hidden_size,config.hidden_size,4096,identity,available,
Qwen/Qwen3-235B-A22B-Thinking-2507,intermediate_size,config.intermediate_size,12288,identity,available,
Qwen/Qwen3-235B-A22B-Thinking-2507,num_attention_heads,config.num_attention_heads,64,identity,available,
Qwen/Qwen3-235B-A22B-Thinking-2507,num_key_value_heads,config.num_key_value_heads,4,identity,available,
Qwen/Qwen3-235B-A22B-Thinking-2507,vocab_size,config.vocab_size,151936,identity,available,
Qwen/Qwen3-235B-A22B-Thinking-2507,context_length,config.max_position_embeddings,262144,identity,available,
Qwen/Qwen3-235B-A22B-Thinking-2507,sliding_window,config.sliding_window,,identity,missing,source field absent
Qwen/Qwen3-235B-A22B-Thinking-2507,moe_intermediate_size,config.moe_intermediate_size,1536,identity,available,
Qwen/Qwen3-235B-A22B-Thinking-2507,shared_expert_count,,,identity,missing,source field absent
Qwen/Qwen3-235B-A22B-Thinking-2507,shared_expert_intermediate_size,,,identity,missing,source field absent
Qwen/Qwen3-235B-A22B-Thinking-2507,qk_nope_head_dim,,,identity,missing,source field absent
Qwen/Qwen3-235B-A22B-Thinking-2507,qk_rope_head_dim,,,identity,missing,source field absent
Qwen/Qwen3-235B-A22B-Thinking-2507,v_head_dim,,,identity,missing,source field absent
Qwen/Qwen3-235B-A22B-Thinking-2507,mamba_head_dim,,,identity,missing,source field absent
Qwen/Qwen3-235B-A22B-Thinking-2507,mamba_num_heads,,,identity,missing,source field absent
Qwen/Qwen3-235B-A22B-Thinking-2507,mamba_state_size,,,identity,missing,no Mamba state-size field
Qwen/Qwen3-235B-A22B-Thinking-2507,expert_count,config.num_experts,128,identity,available,
Qwen/Qwen3-235B-A22B-Thinking-2507,active_expert_count,config.num_experts_per_tok,8,identity,available,
Qwen/Qwen3-235B-A22B-Thinking-2507,head_dim,config.head_dim,128,identity,available,
Qwen/Qwen3-235B-A22B-Thinking-2507,dense_layer_count,benchmark.architecture + config.num_hidden_layers,"{""architecture"": ""MoE"", ""num_hidden_layers"": 94}",architecture-specific layer split,available,
Qwen/Qwen3-235B-A22B-Thinking-2507,moe_layer_count,benchmark.architecture + config.num_hidden_layers,"{""architecture"": ""MoE"", ""num_hidden_layers"": 94}",architecture-specific layer split,available,
Qwen/Qwen3-235B-A22B-Thinking-2507,hybrid_pattern,,,identity,missing,not a declared hybrid pattern
Qwen/Qwen3-235B-A22B-Thinking-2507,hybrid_mamba_layer_count,,,identity,missing,not a declared hybrid pattern
Qwen/Qwen3-235B-A22B-Thinking-2507,hybrid_attention_layer_count,,,identity,missing,not a declared hybrid pattern
Qwen/Qwen3-235B-A22B-Thinking-2507,hybrid_mlp_layer_count,,,identity,missing,not a declared hybrid pattern
